finding_id,source_lane,community_or_group,primary_theme_id,primary_theme,synthesis_claim_ids,evidence_role,confidence,external_verification_needed,article_gap_refs
F-153,intentional-community and communal-history corpus,Graham Downs; Renaissance Community Trust,T-03,"membership, classification, and safety prediction",S-03;S-04;S-07;S-12,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-001;G-004;G-006;G-008;G-010;G-014;G-018
F-154,bounded primary-corpus search,Communal Societies volume 43,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-155,intentional-community and communal-history corpus,Shaker societies,T-06,"children, family, education, and direct rights",S-06;S-11;S-12;S-13,"mixed mechanism, counterevidence, or boundary case",medium-high,yes,G-003;G-005;G-006;G-008;G-014;G-015;G-017;G-018
F-156,intentional-community and communal-history corpus,Sullivan Institute; Sullivanians; Fourth Wall,T-05,"care, medicine, therapy, and governance firewalls",S-05;S-06;S-09;S-10,"harm, failure, or capture mechanism case",medium,yes,G-001;G-002;G-003;G-004;G-005;G-006;G-008;G-011;G-013;G-018
F-157,intentional-community and communal-history corpus,Cooperites; Gloriavale,T-09,"external correction, law, and professional boundaries",S-06;S-09;S-10,"harm, failure, or capture mechanism case",medium,yes,G-003;G-005;G-008;G-011;G-013;G-018
F-158,bounded primary-corpus search,Communal Societies volume 44,T-12,dangerous-child bounded null and adjacent response evidence,S-06;S-11;S-14,bounded or unresolved null,high,no,G-018
F-159,intentional-community and communal-history corpus,Shaker societies,T-05,"care, medicine, therapy, and governance firewalls",S-05;S-06;S-10;S-11;S-12,"mixed mechanism, counterevidence, or boundary case",medium-high,yes,G-002;G-005;G-006;G-013;G-015;G-018
F-160,intentional-community and communal-history corpus,Fellowship of Egalitarian Communities; PEACH,T-07,"assets, exit, records, and material security",S-07;S-08;S-11;S-12;S-13,protective design or remedy component,medium,yes,G-005;G-006;G-012;G-013;G-015;G-018
F-161,intentional-community and communal-history corpus,Hutterite colonies; James Valley and Starlite,T-11,"succession, fission, and movement continuity",S-07;S-08;S-11;S-12;S-13,protective design or remedy component,medium-high,yes,G-006;G-012;G-015;G-016;G-018
F-162,bounded primary-corpus search,Communal Societies volume 45,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-163,intentional-community and communal-history corpus,120 contemporary United States communes; rural anarchistic case,T-04,"conflict, bounded separation, and remedy",S-03;S-09,"mixed mechanism, counterevidence, or boundary case",medium-high,yes,G-001;G-018
F-164,intentional-community and communal-history corpus,One consensual noncharismatic commune in Atlanta,T-03,"membership, classification, and safety prediction",S-03;S-04,"method, source-quality, or measurement boundary",medium,yes,G-010;G-018
F-165,traditional-society comparison,Dobe-area !Kung San,T-01,"authority, role fusion, and capture",S-01;S-02,protective design or remedy component,medium-high,yes,G-004;G-018
F-166,traditional-society comparison,"Dobe, Nyae Nyae, and /Du/da-region !Kung San",T-04,"conflict, bounded separation, and remedy",S-03;S-09,protective design or remedy component,medium,yes,G-011;G-016
F-167,traditional-society comparison,"Old Order Amish church districts, with Lancaster County examples",T-04,"conflict, bounded separation, and remedy",S-03;S-09,protective design or remedy component,medium-high,yes,G-001;G-003;G-011
F-168,bounded primary-corpus search,"Eight intentional-community, traditional-society, theory, clinical, and philosophical sources",T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-169,adjacent child-response/professional evidence,Achievement Place; 12 Teaching-Family replications; 9 conventional Kansas group homes,T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-10;S-11,"adjacent comparative, validation, or guidance boundary",medium-high,yes,G-002;G-006;G-018
F-170,adjacent child-response/professional evidence,11 residential group-care agencies serving mostly child-welfare referrals,T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-10;S-11,"adjacent comparative, validation, or guidance boundary",medium-high,yes,G-002;G-006;G-009;G-018
F-171,adjacent child-response/professional evidence,252 boys aged 6-11 referred to two authorized community SNAP providers,T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-10;S-11,"adjacent comparative, validation, or guidance boundary",medium-high,yes,G-002;G-005;G-006;G-009;G-018
F-172,adjacent child-response/professional evidence,"NHS mental health, health, community, emergency, and child and adolescent mental health settings",T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-09;S-10;S-11,"adjacent comparative, validation, or guidance boundary",high,yes,G-001;G-002;G-005;G-009
F-173,adjacent child-response/professional evidence,"208 adolescents in general residential adolescent psychiatry, correctional schools, or adolescent forensic units",T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-10;S-11,"adjacent comparative, validation, or guidance boundary",medium,yes,G-006;G-018
F-174,adjacent child-response/professional evidence,106 adolescents in one 98-bed Dutch medium- and high-secure civil youth-care service,T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-10;S-11,"adjacent comparative, validation, or guidance boundary",high,yes,G-006;G-018
F-175,adjacent child-response/professional evidence,acute child and adolescent mental-health inpatient units at one Canadian centre,T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-09;S-10;S-11,"adjacent comparative, validation, or guidance boundary",medium-high,yes,G-001;G-006;G-009
F-176,adjacent child-response/professional evidence,176 serious and violent juvenile offenders originally randomized to multisystemic therapy or individual therapy,T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-10;S-11,"adjacent comparative, validation, or guidance boundary",medium-high,yes,G-002;G-006;G-018
F-177,adjacent child-response/professional evidence,129 Norwegian youths with registry linkage from a 161-family child-welfare randomized trial,T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-10;S-11,"adjacent comparative, validation, or guidance boundary",high,yes,G-002;G-005;G-006;G-018
F-178,adjacent child-response/professional evidence,81 girls with serious and chronic delinquency randomized to treatment foster care or community group care,T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-10;S-11,"adjacent comparative, validation, or guidance boundary",medium-high,yes,G-002;G-005;G-006;G-009;G-018
F-179,adjacent child-response/professional evidence,81 males aged 16-21 convicted of serious violent crimes in five Swedish residential treatment homes,T-12,dangerous-child bounded null and adjacent response evidence,S-04;S-05;S-06;S-10;S-11,"adjacent comparative, validation, or guidance boundary",high,yes,G-002;G-005;G-006;G-018
F-180,adjacent official correction record,"Sullivan Institute / Sullivanians, linked by lead finding F-156",T-09,"external correction, law, and professional boundaries",S-05;S-06;S-09;S-10;S-11,official correction record; endpoint incomplete,high,yes,G-003;G-004;G-005;G-006;G-013
F-181,adjacent official correction record,Gloriavale Christian Community,T-09,"external correction, law, and professional boundaries",S-06;S-09;S-10;S-11,official correction record; endpoint incomplete,high,yes,G-003;G-004;G-005;G-006;G-009;G-013
F-182,adjacent official correction record,Jesus Fellowship Church / New Creation Christian Community,T-09,"external correction, law, and professional boundaries",S-06;S-09;S-10;S-11,official correction record; endpoint incomplete,high,yes,G-003;G-004;G-005;G-006;G-009;G-013
F-183,adjacent governance instrument/primary record,The Mothership LLC,T-07,"assets, exit, records, and material security",S-07;S-08;S-10;S-11;S-12;S-13,instrument or primary architecture; implementation incomplete,medium-high,yes,G-001;G-006;G-008;G-012;G-013
F-184,adjacent governance instrument/primary record,Preservation of Equity Accessible for Community Health (PEACH),T-07,"assets, exit, records, and material security",S-06;S-07;S-08;S-10;S-11;S-12;S-13,instrument or primary architecture; implementation incomplete,medium,yes,G-005;G-006;G-012;G-013
F-185,adjacent governance instrument/primary record,Felger Hutterite Colony; Hutterite daughter-colony practice,T-11,"succession, fission, and movement continuity",S-06;S-07;S-08;S-10;S-11;S-12;S-13,instrument or primary architecture; implementation incomplete,medium-high,yes,G-005;G-006;G-012;G-016
F-186,adjacent governance instrument/primary record,Jesus Fellowship Community Trust / former New Creation Christian Community,T-07,"assets, exit, records, and material security",S-06;S-07;S-08;S-09;S-10;S-11;S-13,instrument or primary architecture; implementation incomplete,high,yes,G-001;G-006;G-008;G-012;G-013
